F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	TITLE	LEVEL	SCORE 
-0.33662033417665665	0.1308895520376025	6.303408869320929	321	16.05	2.0709677419354837	0.3894080996884735	3	21	0.38095238095238093	살면서 가장 기억에 남는 날	B1	40
0.8581239315370721	0.15440037477899982	6.334792148381395	302	15.1	2.172661870503597	0.4205298013245033	5	21	0.2857142857142857	살면서 가장 기억에 남는 날	B1	40
-1.4551225363374511	0.11429062081501709	6.29450182363983	314	22.428571428571427	1.9625	0.4713375796178344	5	15	0.26666666666666666	살면서 가장 기억에 남는 날	B1	80
0.9247157300995831	0.15679315611353495	6.302545125126835	305	12.2	1.8944099378881987	0.3901639344262295	3	26	0.2692307692307692	살면서 가장 기억에 남는 날	B1	50
-0.19811239703064384	0.12891411893312726	6.558989837199717	258	16.125	2.15	0.5155038759689923	4	17	0.4117647058823529	살면서 가장 기억에 남는 날	B1	70
-0.41194189766770306	0.12944646348100627	6.313259495313809	338	13.0	2.1948051948051948	0.4289940828402367	4	27	0.4074074074074074	살면서 가장 기억에 남는 날	B1	40
-1.2979766368872427	0.11354935900155456	6.508766164596201	305	19.0625	2.103448275862069	0.5081967213114754	3	17	0.5882352941176471	살면서 가장 기억에 남는 날	B1	90
-1.0053518892715372	0.11626440785312828	6.595732642662398	326	21.733333333333334	2.130718954248366	0.4447852760736196	3	16	0.25	살면서 가장 기억에 남는 날	B1	70
-0.5583330984251642	0.12589601909787734	6.384729813060179	309	22.071428571428573	2.0463576158940397	0.49838187702265374	4	15	0.5333333333333333	살면서 가장 기억에 남는 날	B1	90
0.6465230626042938	0.1546251450543843	6.113776494433139	247	8.821428571428571	1.9603174603174602	0.4939271255060729	7	29	0.41379310344827586	살면서 가장 기억에 남는 날	B1	40
-1.2350846061453045	0.11448245680844475	6.499878180976114	318	16.736842105263158	2.12	0.5094339622641509	4	20	0.25	살면서 가장 기억에 남는 날	B1	90
0.8242451609100705	0.15210479703651225	6.39865977164686	281	14.05	2.0215827338129495	0.5729537366548043	3	21	0.14285714285714285	살면서 가장 기억에 남는 날	B1	70
-1.8542964707403444	0.1091870726276874	6.3042969042268515	308	18.11764705882353	2.138888888888889	0.461038961038961	5	18	0.3333333333333333	살면서 가장 기억에 남는 날	B1	100
0.11138766112529519	0.14216153925812847	6.1456390150323426	269	12.227272727272727	2.0074626865671643	0.44609665427509293	5	23	0.43478260869565216	살면서 가장 기억에 남는 날	B1	80
